Fase,ClienteID,Iteracion,Latencia_ms,CPU_Load,RAM_MB,Status
WARMUP,1,1,226,1.6,23.52,OK
WARMUP,2,1,230,1.6,23.52,OK
WARMUP,2,2,224,1.6,23.53,OK
WARMUP,1,2,227,1.6,23.54,OK
WARMUP,1,3,232,1.6,23.56,OK
WARMUP,2,3,233,1.6,23.55,OK
WARMUP,4,1,228,1.6,23.56,OK
WARMUP,2,4,225,1.6,22.83,OK
WARMUP,1,4,229,1.6,22.84,OK
WARMUP,3,1,229,1.6,22.85,OK
WARMUP,4,2,231,1.6,22.87,OK
WARMUP,1,5,221,1.6,22.86,OK
WARMUP,2,5,224,1.6,22.87,OK
WARMUP,3,2,232,1.6,22.88,OK
WARMUP,4,3,225,1.6,22.90,OK
WARMUP,1,6,217,1.6,22.89,OK
WARMUP,3,3,226,1.6,22.91,OK
WARMUP,2,6,235,1.6,22.91,OK
WARMUP,4,4,223,1.6,22.92,OK
WARMUP,2,7,225,1.6,22.93,OK
WARMUP,3,4,225,1.6,22.94,OK
WARMUP,2,8,218,1.6,22.95,OK
WARMUP,3,5,228,1.6,22.95,OK
WARMUP,2,9,230,1.6,22.96,OK
WARMUP,3,6,243,1.6,22.97,OK
WARMUP,3,7,223,1.6,22.98,OK
WARMUP,2,10,231,1.6,22.99,OK
WARMUP,2,11,233,1.6,22.99,OK
WARMUP,3,8,228,1.6,23.00,OK
WARMUP,1,7,411,1.6,23.01,OK
WARMUP,1,8,370,1.6,23.02,OK
WARMUP,1,9,330,1.6,23.03,OK
WARMUP,1,10,290,1.6,23.04,OK
WARMUP,1,11,250,1.6,23.04,OK
WARMUP,2,12,221,1.6,23.05,OK
WARMUP,4,5,403,1.6,23.06,OK
WARMUP,4,6,364,1.6,23.08,OK
WARMUP,4,7,324,1.6,23.08,OK
WARMUP,4,8,283,1.6,23.09,OK
WARMUP,4,9,244,1.6,23.09,OK
WARMUP,3,9,228,1.6,23.05,OK
WARMUP,1,12,249,1.6,23.10,OK
WARMUP,2,13,226,1.6,23.11,OK
WARMUP,3,10,223,1.6,23.11,OK
WARMUP,4,10,252,1.6,23.13,OK
WARMUP,1,13,238,1.6,23.12,OK
WARMUP,4,11,245,1.6,23.15,OK
WARMUP,2,14,231,1.6,23.14,OK
WARMUP,3,11,230,1.6,23.15,OK
WARMUP,1,14,252,1.6,23.17,OK
WARMUP,4,12,242,1.6,23.18,OK
WARMUP,2,15,226,1.6,23.17,OK
WARMUP,1,15,226,1.6,23.20,OK
WARMUP,3,12,223,1.6,23.19,OK
WARMUP,4,13,229,1.6,23.21,OK
WARMUP,1,16,229,1.6,23.21,OK
WARMUP,2,16,234,1.6,23.22,OK
WARMUP,3,13,230,1.6,23.23,OK
WARMUP,4,14,228,1.6,23.24,OK
WARMUP,2,17,222,1.6,23.25,OK
WARMUP,1,17,225,1.6,23.25,OK
WARMUP,3,14,226,1.6,23.26,OK
WARMUP,4,15,221,1.6,23.27,OK
WARMUP,2,18,228,1.6,23.28,OK
WARMUP,1,18,230,1.6,23.29,OK
WARMUP,3,15,226,1.6,23.29,OK
WARMUP,4,16,226,1.6,23.30,OK
WARMUP,1,19,216,1.6,23.31,OK
WARMUP,3,16,221,1.6,23.32,OK
WARMUP,2,19,232,1.6,23.33,OK
WARMUP,4,17,231,1.6,23.33,OK
WARMUP,1,20,219,1.6,23.34,OK
WARMUP,2,20,231,1.6,23.35,OK
WARMUP,3,17,232,1.6,23.36,OK
WARMUP,1,21,216,1.6,23.37,OK
WARMUP,4,18,233,1.6,23.38,OK
WARMUP,3,18,219,1.6,23.38,OK
WARMUP,2,21,227,1.6,23.39,OK
WARMUP,4,19,228,1.6,23.40,OK
WARMUP,1,22,222,1.6,23.41,OK
WARMUP,2,22,225,1.6,23.42,OK
WARMUP,3,19,234,1.6,23.42,OK
WARMUP,4,20,232,1.6,23.43,OK
WARMUP,2,23,220,1.6,23.44,OK
WARMUP,1,23,226,1.6,23.45,OK
WARMUP,3,20,231,1.6,23.46,OK
WARMUP,4,21,223,1.6,23.46,OK
WARMUP,1,24,220,1.6,23.47,OK
WARMUP,2,24,226,1.6,23.48,OK
WARMUP,3,21,228,1.6,23.49,OK
WARMUP,4,22,226,1.6,23.50,OK
WARMUP,2,25,216,1.6,23.50,OK
WARMUP,1,25,220,1.6,23.51,OK
WARMUP,3,22,227,1.6,23.52,OK
WARMUP,4,23,225,1.6,23.53,OK
WARMUP,1,26,220,1.6,23.54,OK
WARMUP,3,23,223,1.6,23.54,OK
WARMUP,2,26,233,1.6,23.55,OK
WARMUP,1,27,225,1.6,23.56,OK
WARMUP,2,27,226,1.6,22.86,OK
WARMUP,3,24,239,1.6,22.87,OK
WARMUP,1,28,222,1.6,22.88,OK
WARMUP,3,25,222,1.6,22.89,OK
WARMUP,2,28,224,1.6,22.89,OK
WARMUP,2,29,220,1.6,22.90,OK
WARMUP,1,29,230,1.6,22.91,OK
WARMUP,3,26,231,1.6,22.92,OK
WARMUP,1,30,221,1.6,22.93,OK
WARMUP,3,27,227,1.6,22.93,OK
WARMUP,3,28,223,1.6,22.94,OK
WARMUP,4,24,402,1.6,22.95,OK
WARMUP,4,25,363,1.6,22.96,OK
WARMUP,4,26,324,1.6,22.96,OK
WARMUP,1,31,230,1.6,22.97,OK
WARMUP,1,32,227,1.6,22.98,OK
WARMUP,3,29,231,1.6,22.99,OK
WARMUP,1,33,217,1.6,23.00,OK
WARMUP,3,30,228,1.6,23.00,OK
WARMUP,4,27,399,1.6,23.03,OK
WARMUP,4,28,359,1.6,23.04,OK
WARMUP,4,29,318,1.6,23.04,OK
WARMUP,1,34,221,1.6,23.02,OK
WARMUP,3,31,222,1.6,23.01,OK
WARMUP,4,30,297,1.6,23.06,OK
WARMUP,4,31,258,1.6,23.06,OK
WARMUP,4,32,222,1.6,23.10,OK
WARMUP,2,30,408,1.6,23.07,OK
WARMUP,2,31,368,1.6,23.08,OK
WARMUP,2,32,328,1.6,23.09,OK
WARMUP,2,33,289,1.6,23.09,OK
WARMUP,2,34,248,1.6,23.09,OK
WARMUP,3,32,225,1.6,23.11,OK
WARMUP,1,35,231,1.6,23.12,OK
WARMUP,2,35,238,1.6,23.13,OK
WARMUP,4,33,228,1.6,23.14,OK
WARMUP,1,36,223,1.6,23.14,OK
WARMUP,2,36,232,1.6,23.15,OK
WARMUP,3,33,234,1.6,23.16,OK
WARMUP,2,37,225,1.6,23.17,OK
WARMUP,3,34,226,1.6,23.18,OK
WARMUP,1,37,226,1.6,23.18,OK
WARMUP,4,34,259,1.6,23.19,OK
WARMUP,4,35,227,1.6,23.20,OK
WARMUP,2,38,223,1.6,23.21,OK
WARMUP,3,35,228,1.6,23.22,OK
WARMUP,1,38,230,1.6,23.22,OK
WARMUP,4,36,226,1.6,23.23,OK
WARMUP,3,36,226,1.6,23.24,OK
WARMUP,2,39,229,1.6,23.25,OK
WARMUP,4,37,227,1.6,23.26,OK
WARMUP,2,40,223,1.6,23.26,OK
WARMUP,3,37,227,1.6,23.27,OK
WARMUP,4,38,221,1.6,23.28,OK
WARMUP,3,38,227,1.6,23.29,OK
WARMUP,2,41,229,1.6,23.29,OK
WARMUP,4,39,230,1.6,23.30,OK
WARMUP,2,42,224,1.6,23.31,OK
WARMUP,3,39,233,1.6,23.32,OK
WARMUP,4,40,221,1.6,23.33,OK
WARMUP,2,43,228,1.6,23.33,OK
WARMUP,3,40,228,1.6,23.34,OK
WARMUP,1,39,395,1.6,23.35,OK
WARMUP,1,40,356,1.6,23.37,OK
WARMUP,1,41,316,1.6,23.37,OK
WARMUP,1,42,274,1.6,23.37,OK
WARMUP,1,43,235,1.6,23.38,OK
WARMUP,4,41,223,1.6,23.39,OK
WARMUP,3,41,224,1.6,23.40,OK
WARMUP,2,44,229,1.6,23.40,OK
WARMUP,4,42,220,1.6,23.41,OK
WARMUP,1,44,247,1.6,23.42,OK
WARMUP,3,42,226,1.6,23.43,OK
WARMUP,1,45,231,1.6,23.44,OK
WARMUP,2,45,230,1.6,23.44,OK
WARMUP,4,43,224,1.6,23.45,OK
WARMUP,3,43,222,1.6,23.46,OK
WARMUP,2,46,231,1.6,23.47,OK
WARMUP,1,46,246,1.6,23.47,OK
WARMUP,4,44,233,1.6,23.48,OK
WARMUP,1,47,225,1.6,23.49,OK
WARMUP,2,47,231,1.6,23.50,OK
WARMUP,3,44,237,1.6,23.51,OK
WARMUP,4,45,226,1.6,23.51,OK
WARMUP,1,48,223,1.6,23.52,OK
WARMUP,2,48,227,1.6,23.53,OK
WARMUP,3,45,234,1.6,23.54,OK
WARMUP,4,46,229,1.6,23.55,OK
WARMUP,2,49,217,1.6,23.55,OK
WARMUP,1,49,222,1.6,23.56,OK
WARMUP,3,46,231,1.6,23.57,OK
WARMUP,4,47,226,1.6,23.58,OK
WARMUP,1,50,222,1.6,23.59,OK
WARMUP,2,50,230,1.6,23.59,OK
WARMUP,3,47,230,1.6,23.60,OK
WARMUP,4,48,217,1.6,23.61,OK
WARMUP,2,51,221,1.6,23.62,OK
WARMUP,3,48,223,1.6,23.63,OK
WARMUP,1,51,228,1.6,22.83,OK
WARMUP,4,49,222,1.6,22.84,OK
WARMUP,1,52,220,1.6,22.85,OK
WARMUP,2,52,229,1.6,22.86,OK
WARMUP,3,49,232,1.6,22.86,OK
WARMUP,4,50,225,1.6,22.87,OK
WARMUP,1,53,215,1.6,22.88,OK
WARMUP,2,53,224,1.6,22.89,OK
WARMUP,3,50,231,1.6,22.90,OK
WARMUP,4,51,224,1.6,22.90,OK
WARMUP,1,54,218,1.6,22.91,OK
WARMUP,2,54,225,1.6,22.92,OK
WARMUP,3,51,233,1.6,22.93,OK
WARMUP,4,52,221,1.6,22.94,OK
WARMUP,1,55,225,1.6,22.95,OK
WARMUP,3,52,225,1.6,22.94,OK
WARMUP,2,55,236,1.6,22.96,OK
WARMUP,4,53,224,1.6,22.97,OK
