Fase,ClienteID,Iteracion,Latencia_ms,CPU_Load,RAM_MB,Status
WARMUP,3,1,125,3.16,22.64,OK
WARMUP,2,1,127,3.16,22.63,OK
WARMUP,4,1,125,3.16,22.65,OK
WARMUP,1,1,127,3.16,22.66,OK
WARMUP,2,2,123,3.16,22.67,OK
WARMUP,3,2,125,3.16,22.68,OK
WARMUP,4,2,126,3.16,22.70,OK
WARMUP,1,2,127,3.16,22.69,OK
WARMUP,2,3,122,3.16,22.70,OK
WARMUP,3,3,124,3.16,22.71,OK
WARMUP,4,3,126,3.16,22.73,OK
WARMUP,1,3,126,3.16,22.72,OK
WARMUP,2,4,123,3.16,22.74,OK
WARMUP,3,4,125,3.16,22.75,OK
WARMUP,4,4,125,3.16,22.77,OK
WARMUP,1,4,126,3.16,22.76,OK
WARMUP,2,5,123,3.16,22.78,OK
WARMUP,3,5,124,3.16,22.79,OK
WARMUP,4,5,126,3.16,22.80,OK
WARMUP,1,5,127,3.16,22.80,OK
WARMUP,2,6,123,3.16,22.81,OK
WARMUP,3,6,124,3.16,22.82,OK
WARMUP,4,6,126,3.16,22.84,OK
WARMUP,1,6,127,3.16,22.83,OK
WARMUP,2,7,123,3.16,22.85,OK
WARMUP,3,7,125,3.16,22.86,OK
WARMUP,4,7,125,3.16,22.88,OK
WARMUP,1,7,127,3.16,22.87,OK
WARMUP,2,8,122,3.16,22.89,OK
WARMUP,3,8,125,3.16,22.90,OK
WARMUP,4,8,125,3.16,22.92,OK
WARMUP,1,8,127,3.16,22.91,OK
WARMUP,2,9,123,3.16,22.93,OK
WARMUP,3,9,124,3.16,22.93,OK
WARMUP,4,9,125,3.16,22.95,OK
WARMUP,1,9,127,3.16,22.94,OK
WARMUP,2,10,123,3.16,22.96,OK
WARMUP,3,10,124,3.16,22.97,OK
WARMUP,4,10,126,3.16,22.99,OK
WARMUP,1,10,126,3.16,22.98,OK
WARMUP,2,11,123,3.16,23.00,OK
WARMUP,3,11,124,3.16,23.01,OK
WARMUP,4,11,126,3.16,23.03,OK
WARMUP,1,11,127,3.16,23.02,OK
WARMUP,2,12,123,3.16,23.04,OK
WARMUP,3,12,126,3.16,23.04,OK
WARMUP,4,12,126,3.16,23.06,OK
WARMUP,1,12,126,3.16,23.05,OK
WARMUP,2,13,124,3.16,23.07,OK
WARMUP,3,13,128,3.16,23.08,OK
WARMUP,4,13,126,3.16,23.10,OK
WARMUP,1,13,127,3.16,23.09,OK
WARMUP,2,14,123,3.16,23.12,OK
WARMUP,3,14,124,3.16,23.13,OK
WARMUP,4,14,126,3.16,23.14,OK
WARMUP,1,14,126,3.16,23.15,OK
WARMUP,2,15,123,3.16,23.15,OK
WARMUP,3,15,124,3.16,22.44,OK
WARMUP,4,15,125,3.16,22.45,OK
WARMUP,1,15,126,3.16,22.46,OK
WARMUP,2,16,122,3.16,22.47,OK
WARMUP,3,16,125,3.16,22.48,OK
WARMUP,4,16,125,3.16,22.49,OK
WARMUP,1,16,126,3.16,22.50,OK
WARMUP,2,17,124,3.16,22.51,OK
WARMUP,3,17,124,3.16,22.52,OK
WARMUP,4,17,126,3.16,22.53,OK
WARMUP,1,17,127,3.16,22.53,OK
WARMUP,2,18,122,3.16,22.54,OK
WARMUP,3,18,125,3.16,22.55,OK
WARMUP,4,18,126,3.16,22.56,OK
WARMUP,1,18,126,3.16,22.57,OK
WARMUP,2,19,123,3.16,22.58,OK
WARMUP,3,19,125,3.16,22.59,OK
WARMUP,4,19,125,3.16,22.60,OK
WARMUP,1,19,126,3.16,22.61,OK
WARMUP,2,20,123,3.16,22.62,OK
WARMUP,3,20,124,3.16,22.62,OK
WARMUP,4,20,126,3.16,22.63,OK
WARMUP,1,20,127,3.16,22.64,OK
WARMUP,2,21,124,3.16,22.65,OK
WARMUP,3,21,125,3.16,22.66,OK
WARMUP,4,21,126,3.16,22.67,OK
WARMUP,1,21,127,3.16,22.68,OK
WARMUP,2,22,123,3.16,22.69,OK
WARMUP,3,22,125,3.16,22.70,OK
WARMUP,4,22,126,3.16,22.71,OK
WARMUP,1,22,126,3.16,22.71,OK
WARMUP,2,23,123,3.16,22.72,OK
WARMUP,3,23,124,3.16,22.73,OK
WARMUP,4,23,126,3.16,22.74,OK
WARMUP,1,23,127,3.16,22.75,OK
WARMUP,4,24,127,3.16,22.76,OK
WARMUP,2,24,130,3.16,22.79,OK
WARMUP,3,24,130,3.16,22.78,OK
WARMUP,1,24,127,3.16,22.77,OK
WARMUP,2,25,123,3.16,22.80,OK
WARMUP,3,25,124,3.16,22.80,OK
WARMUP,4,25,126,3.16,22.81,OK
WARMUP,1,25,128,3.16,22.82,OK
WARMUP,2,26,122,3.16,22.83,OK
WARMUP,3,26,125,3.16,22.84,OK
WARMUP,4,26,126,3.16,22.85,OK
WARMUP,1,26,127,3.16,22.86,OK
WARMUP,2,27,123,3.16,22.87,OK
WARMUP,3,27,124,3.16,22.88,OK
WARMUP,4,27,126,3.16,22.89,OK
WARMUP,1,27,127,3.16,22.89,OK
WARMUP,2,28,123,3.16,22.90,OK
WARMUP,3,28,124,3.16,22.91,OK
WARMUP,4,28,126,3.16,22.92,OK
WARMUP,1,28,127,3.16,22.93,OK
WARMUP,2,29,123,3.16,22.94,OK
WARMUP,3,29,124,3.16,22.95,OK
WARMUP,4,29,126,3.16,22.96,OK
WARMUP,1,29,127,3.16,22.97,OK
WARMUP,2,30,122,3.16,22.98,OK
WARMUP,3,30,125,3.16,22.99,OK
WARMUP,4,30,126,3.16,23.00,OK
WARMUP,1,30,126,3.16,22.99,OK
WARMUP,2,31,124,3.16,23.01,OK
WARMUP,3,31,125,3.16,23.02,OK
WARMUP,4,31,125,3.16,23.04,OK
WARMUP,1,31,125,3.16,23.03,OK
WARMUP,2,32,124,3.16,23.05,OK
WARMUP,3,32,126,3.16,23.06,OK
WARMUP,4,32,126,3.16,23.07,OK
WARMUP,1,32,127,3.16,23.08,OK
WARMUP,2,33,123,3.16,23.08,OK
WARMUP,3,33,125,3.16,23.09,OK
WARMUP,4,33,125,3.16,23.11,OK
WARMUP,1,33,127,3.16,23.10,OK
WARMUP,2,34,124,3.16,23.12,OK
WARMUP,3,34,125,3.16,23.13,OK
WARMUP,4,34,127,3.16,23.15,OK
WARMUP,1,34,126,3.16,23.14,OK
WARMUP,2,35,123,3.16,23.16,OK
WARMUP,3,35,126,3.16,22.45,OK
WARMUP,4,35,126,3.16,22.47,OK
