Fase,ClienteID,Iteracion,Latencia_ms,CPU_Load,RAM_MB,Status
WARMUP,1,1,231,2.35,22.85,OK
WARMUP,1,2,243,2.35,22.85,OK
WARMUP,2,1,243,2.35,22.86,OK
WARMUP,2,2,236,2.35,22.87,OK
WARMUP,1,3,235,2.35,22.88,OK
WARMUP,4,1,285,2.35,22.89,OK
WARMUP,3,1,287,2.35,22.89,OK
WARMUP,3,2,247,2.35,22.93,OK
WARMUP,4,2,246,2.35,22.92,OK
WARMUP,1,4,279,2.35,22.90,OK
WARMUP,1,5,238,2.35,22.93,OK
WARMUP,2,3,281,2.35,22.91,OK
WARMUP,2,4,242,2.35,22.94,OK
WARMUP,2,5,236,2.35,22.95,OK
WARMUP,1,6,232,2.35,22.97,OK
WARMUP,4,3,240,2.35,22.96,OK
WARMUP,3,3,243,2.35,22.97,OK
WARMUP,3,4,238,2.35,22.98,OK
WARMUP,4,4,235,2.35,22.99,OK
WARMUP,2,6,236,2.35,23.00,OK
WARMUP,1,7,244,2.35,23.01,OK
WARMUP,3,5,223,2.35,23.02,OK
WARMUP,4,5,241,2.35,23.03,OK
WARMUP,1,8,233,2.35,23.04,OK
WARMUP,2,7,238,2.35,23.05,OK
WARMUP,3,6,230,2.35,23.06,OK
WARMUP,4,6,238,2.35,23.06,OK
WARMUP,2,8,236,2.35,23.07,OK
WARMUP,1,9,244,2.35,23.08,OK
WARMUP,4,7,234,2.35,23.10,OK
WARMUP,3,7,238,2.35,23.09,OK
WARMUP,1,10,232,2.35,23.10,OK
WARMUP,2,9,242,2.35,23.11,OK
WARMUP,3,8,230,2.35,22.40,OK
WARMUP,4,8,225,2.35,22.41,OK
WARMUP,2,10,230,2.35,22.42,OK
WARMUP,1,11,229,2.35,22.42,OK
WARMUP,3,9,221,2.35,22.43,OK
WARMUP,4,9,222,2.35,22.44,OK
WARMUP,1,12,228,2.35,22.45,OK
WARMUP,2,11,245,2.35,22.46,OK
WARMUP,3,10,218,2.35,22.46,OK
WARMUP,4,10,214,2.35,22.47,OK
WARMUP,2,12,228,2.35,22.48,OK
WARMUP,1,13,230,2.35,22.49,OK
WARMUP,3,11,227,2.35,22.50,OK
WARMUP,4,11,222,2.35,22.50,OK
WARMUP,2,13,228,2.35,22.51,OK
WARMUP,1,14,231,2.35,22.52,OK
WARMUP,3,12,222,2.35,22.53,OK
WARMUP,1,15,218,2.35,22.54,OK
WARMUP,4,12,229,2.35,22.54,OK
WARMUP,2,14,230,2.35,22.55,OK
WARMUP,3,13,230,2.35,22.56,OK
WARMUP,4,13,225,2.35,22.57,OK
WARMUP,1,16,228,2.35,22.58,OK
WARMUP,2,15,230,2.35,22.58,OK
WARMUP,3,14,223,2.35,22.59,OK
WARMUP,4,14,221,2.35,22.60,OK
WARMUP,1,17,220,2.35,22.61,OK
WARMUP,2,16,228,2.35,22.62,OK
WARMUP,3,15,228,2.35,22.62,OK
WARMUP,4,15,226,2.35,22.63,OK
WARMUP,1,18,224,2.35,22.64,OK
WARMUP,2,17,229,2.35,22.65,OK
WARMUP,4,16,223,2.35,22.66,OK
WARMUP,3,16,230,2.35,22.67,OK
WARMUP,2,18,224,2.35,22.66,OK
WARMUP,1,19,228,2.35,22.68,OK
WARMUP,3,17,229,2.35,22.70,OK
WARMUP,4,17,224,2.35,22.69,OK
WARMUP,2,19,230,2.35,22.70,OK
WARMUP,1,20,227,2.35,22.71,OK
WARMUP,4,18,220,2.35,22.72,OK
WARMUP,2,20,222,2.35,22.73,OK
WARMUP,1,21,218,2.35,22.74,OK
WARMUP,3,18,231,2.35,22.74,OK
WARMUP,3,19,218,2.35,22.75,OK
WARMUP,4,19,218,2.35,22.76,OK
WARMUP,2,21,233,2.35,22.77,OK
WARMUP,1,22,238,2.35,22.78,OK
WARMUP,3,20,226,2.35,22.78,OK
WARMUP,4,20,226,2.35,22.80,OK
WARMUP,2,22,225,2.35,22.79,OK
WARMUP,1,23,228,2.35,22.81,OK
WARMUP,4,21,223,2.35,22.82,OK
WARMUP,3,21,228,2.35,22.82,OK
WARMUP,1,24,226,2.35,22.83,OK
WARMUP,2,23,244,2.35,22.84,OK
WARMUP,3,22,226,2.35,22.85,OK
WARMUP,4,22,229,2.35,22.86,OK
WARMUP,2,24,229,2.35,22.86,OK
WARMUP,1,25,226,2.35,22.87,OK
WARMUP,3,23,223,2.35,22.88,OK
WARMUP,4,23,225,2.35,22.89,OK
WARMUP,2,25,226,2.35,22.90,OK
WARMUP,1,26,227,2.35,22.90,OK
WARMUP,3,24,222,2.35,22.91,OK
WARMUP,4,24,216,2.35,22.92,OK
WARMUP,2,26,227,2.35,22.93,OK
WARMUP,1,27,237,2.35,22.94,OK
WARMUP,3,25,219,2.35,22.94,OK
WARMUP,4,25,217,2.35,22.95,OK
WARMUP,2,27,236,2.35,22.96,OK
WARMUP,1,28,230,2.35,22.97,OK
WARMUP,3,26,223,2.35,22.98,OK
WARMUP,4,26,223,2.35,22.98,OK
WARMUP,1,29,226,2.35,23.00,OK
WARMUP,2,28,232,2.35,22.99,OK
WARMUP,3,27,218,2.35,23.01,OK
WARMUP,4,27,223,2.35,23.02,OK
WARMUP,1,30,218,2.35,23.02,OK
WARMUP,2,29,226,2.35,23.03,OK
WARMUP,3,28,214,2.35,23.04,OK
WARMUP,2,30,236,2.35,23.05,OK
WARMUP,4,28,237,2.35,23.06,OK
WARMUP,1,31,235,2.35,23.06,OK
WARMUP,3,29,217,2.35,23.07,OK
WARMUP,4,29,230,2.35,23.09,OK
WARMUP,2,31,230,2.35,23.08,OK
WARMUP,1,32,228,2.35,23.10,OK
WARMUP,3,30,213,2.35,23.10,OK
WARMUP,4,30,226,2.35,23.11,OK
