Fase,ClienteID,Iteracion,Latencia_ms,CPU_Load,RAM_MB,Status
WARMUP,2,17,688,1.7,22.25,OK
WARMUP,1,18,709,1.7,22.29,OK
WARMUP,3,18,729,1.7,22.33,OK
WARMUP,4,19,741,1.7,22.37,OK
WARMUP,2,20,731,1.7,22.40,OK
WARMUP,1,20,758,1.7,22.44,OK
WARMUP,4,21,786,1.7,22.48,OK
WARMUP,3,21,795,1.7,21.73,OK
WARMUP,2,22,185,1.7,21.77,OK
WARMUP,1,23,814,1.7,21.80,OK
WARMUP,3,22,186,1.7,21.84,OK
WARMUP,2,22,809,1.7,21.88,OK
WARMUP,2,23,183,1.7,21.91,OK
WARMUP,1,24,193,1.7,21.95,OK
WARMUP,3,23,852,1.7,21.99,OK
WARMUP,4,24,862,1.7,22.03,OK
WARMUP,3,24,177,1.7,22.07,OK
WARMUP,4,24,181,1.7,22.11,OK
WARMUP,1,26,904,1.7,22.14,OK
WARMUP,2,26,892,1.7,22.18,OK
WARMUP,2,26,184,1.7,22.22,OK
WARMUP,3,26,189,1.7,22.25,OK
WARMUP,3,26,924,1.7,22.29,OK
WARMUP,1,27,186,1.7,22.33,OK
WARMUP,4,26,930,1.7,22.37,OK
WARMUP,2,27,175,1.7,22.40,OK
WARMUP,4,27,184,1.7,22.48,OK
WARMUP,3,27,187,1.7,22.46,OK
WARMUP,2,28,175,1.7,21.73,OK
WARMUP,2,28,951,1.7,21.77,OK
WARMUP,3,28,180,1.7,21.81,OK
WARMUP,1,29,987,1.7,21.85,OK
WARMUP,4,28,189,1.7,21.88,OK
WARMUP,1,29,185,1.7,21.92,OK
WARMUP,2,29,184,1.7,21.96,OK
WARMUP,3,29,181,1.7,21.99,OK
WARMUP,4,29,1008,1.7,22.03,OK
WARMUP,3,30,1023,1.7,22.07,OK
WARMUP,2,30,179,1.7,22.14,OK
WARMUP,3,30,170,1.7,22.11,OK
WARMUP,2,31,1027,1.7,22.18,OK
WARMUP,2,31,178,1.7,22.22,OK
WARMUP,1,32,1051,1.7,22.26,OK
WARMUP,3,31,171,1.7,22.29,OK
WARMUP,4,31,173,1.7,22.33,OK
WARMUP,1,32,188,1.7,22.38,OK
WARMUP,4,32,171,1.7,22.47,OK
WARMUP,2,32,184,1.7,22.44,OK
WARMUP,3,32,178,1.7,21.74,OK
WARMUP,4,32,1076,1.7,21.77,OK
WARMUP,3,32,1086,1.7,21.81,OK
WARMUP,1,33,182,1.7,21.85,OK
WARMUP,2,33,180,1.7,21.89,OK
WARMUP,1,34,171,1.7,21.93,OK
WARMUP,3,33,184,1.7,21.96,OK
WARMUP,4,33,183,1.7,22.00,OK
WARMUP,2,34,192,1.7,22.04,OK
WARMUP,2,34,1120,1.7,22.08,OK
WARMUP,1,35,1141,1.7,22.13,OK
WARMUP,3,34,183,1.7,22.16,OK
WARMUP,4,34,182,1.7,22.20,OK
WARMUP,1,35,189,1.7,22.24,OK
WARMUP,2,35,179,1.7,22.27,OK
WARMUP,4,35,1146,1.7,22.31,OK
WARMUP,3,35,179,1.7,22.35,OK
WARMUP,3,35,1161,1.7,22.39,OK
WARMUP,4,35,185,1.7,22.42,OK
WARMUP,1,36,181,1.7,22.46,OK
WARMUP,2,36,185,1.7,22.50,OK
WARMUP,4,36,183,1.7,21.83,OK
WARMUP,1,37,179,1.7,21.75,OK
WARMUP,3,36,189,1.7,21.79,OK
WARMUP,2,37,1178,1.7,21.86,OK
WARMUP,1,38,1220,1.7,21.90,OK
WARMUP,2,37,191,1.7,21.94,OK
WARMUP,3,37,178,1.7,21.98,OK
WARMUP,4,37,191,1.7,22.01,OK
WARMUP,1,38,196,1.7,22.05,OK
WARMUP,2,38,180,1.7,22.09,OK
WARMUP,3,38,182,1.7,22.13,OK
WARMUP,4,38,1240,1.7,22.16,OK
WARMUP,4,38,182,1.7,22.20,OK
WARMUP,3,38,1246,1.7,22.24,OK
WARMUP,1,39,178,1.7,22.27,OK
WARMUP,3,38,166,1.7,22.31,OK
WARMUP,2,39,1242,1.7,22.39,OK
WARMUP,2,39,193,1.7,22.35,OK
WARMUP,4,39,186,1.7,22.42,OK
WARMUP,1,40,184,1.7,22.46,OK
WARMUP,2,40,172,1.7,22.50,OK
WARMUP,1,40,1286,1.7,21.75,OK
WARMUP,4,40,181,1.7,21.79,OK
WARMUP,3,40,191,1.7,21.83,OK
WARMUP,1,41,185,1.7,21.86,OK
WARMUP,2,41,177,1.7,21.90,OK
WARMUP,4,41,1308,1.7,21.94,OK
WARMUP,3,41,175,1.7,21.98,OK
