Fase,ClienteID,Iteracion,Latencia_ms,CPU_Load,RAM_MB,Status
WARMUP,1,1,143,2.67,21.67,OK
WARMUP,3,1,156,2.67,21.67,OK
WARMUP,2,1,146,2.67,21.68,OK
WARMUP,4,1,145,2.67,21.69,OK
WARMUP,1,2,142,2.67,21.71,OK
WARMUP,3,2,152,2.67,21.70,OK
WARMUP,4,2,147,2.67,21.71,OK
WARMUP,3,3,138,2.67,21.72,OK
WARMUP,1,3,137,2.67,21.73,OK
WARMUP,1,4,137,2.67,21.74,OK
WARMUP,3,4,148,2.67,21.75,OK
WARMUP,3,5,140,2.67,21.75,OK
WARMUP,1,5,140,2.67,21.76,OK
WARMUP,2,2,258,2.67,21.77,OK
WARMUP,2,3,219,2.67,21.78,OK
WARMUP,2,4,178,2.67,21.78,OK
WARMUP,3,6,140,2.67,21.79,OK
WARMUP,4,3,248,2.67,21.80,OK
WARMUP,4,4,208,2.67,21.81,OK
WARMUP,4,5,168,2.67,21.82,OK
WARMUP,2,5,169,2.67,21.82,OK
WARMUP,1,6,144,2.67,21.83,OK
WARMUP,2,6,162,2.67,21.84,OK
WARMUP,4,6,167,2.67,21.85,OK
WARMUP,3,7,144,2.67,21.86,OK
WARMUP,2,7,138,2.67,21.86,OK
WARMUP,4,7,138,2.67,21.87,OK
WARMUP,1,7,148,2.67,21.88,OK
WARMUP,3,8,146,2.67,21.89,OK
WARMUP,1,8,138,2.67,21.90,OK
WARMUP,4,8,134,2.67,21.90,OK
WARMUP,2,8,150,2.67,21.91,OK
WARMUP,3,9,143,2.67,21.92,OK
WARMUP,1,9,140,2.67,21.93,OK
WARMUP,4,9,137,2.67,21.94,OK
WARMUP,2,9,148,2.67,21.94,OK
WARMUP,3,10,144,2.67,21.95,OK
WARMUP,4,10,133,2.67,21.96,OK
WARMUP,1,10,153,2.67,21.97,OK
WARMUP,2,10,152,2.67,21.98,OK
WARMUP,3,11,147,2.67,21.98,OK
WARMUP,1,11,140,2.67,21.99,OK
WARMUP,4,11,147,2.67,22.00,OK
WARMUP,2,11,152,2.67,22.01,OK
WARMUP,3,12,137,2.67,22.02,OK
WARMUP,1,12,140,2.67,22.02,OK
WARMUP,2,12,142,2.67,22.03,OK
WARMUP,4,12,146,2.67,22.04,OK
WARMUP,3,13,150,2.67,22.05,OK
WARMUP,1,13,141,2.67,22.06,OK
WARMUP,2,13,136,2.67,22.06,OK
WARMUP,3,14,137,2.67,22.07,OK
WARMUP,1,14,142,2.67,22.08,OK
WARMUP,2,14,153,2.67,22.09,OK
WARMUP,3,15,141,2.67,22.10,OK
WARMUP,1,15,138,2.67,22.10,OK
WARMUP,2,15,145,2.67,22.11,OK
WARMUP,4,13,236,2.67,22.13,OK
WARMUP,4,14,195,2.67,22.13,OK
WARMUP,4,15,154,2.67,22.13,OK
WARMUP,3,16,143,2.67,22.14,OK
WARMUP,1,16,144,2.67,22.15,OK
WARMUP,2,16,139,2.67,22.16,OK
WARMUP,4,16,153,2.67,22.17,OK
WARMUP,3,17,133,2.67,22.17,OK
WARMUP,1,17,142,2.67,22.18,OK
WARMUP,4,17,139,2.67,22.19,OK
WARMUP,2,17,145,2.67,22.20,OK
WARMUP,1,18,138,2.67,22.21,OK
