Fase,ClienteID,Iteracion,Latencia_ms,CPU_Load,RAM_MB,Status
WARMUP,2,17,650,1.66,23.26,OK
WARMUP,3,18,711,1.66,23.30,OK
WARMUP,4,18,730,1.66,23.34,OK
WARMUP,1,22,833,1.66,23.38,OK
WARMUP,2,21,806,1.66,23.41,OK
WARMUP,2,22,237,1.66,23.45,OK
WARMUP,4,23,888,1.66,23.49,OK
WARMUP,3,24,911,1.66,22.75,OK
WARMUP,2,24,229,1.66,22.78,OK
WARMUP,4,24,228,1.66,22.82,OK
WARMUP,1,27,1089,1.66,22.86,OK
WARMUP,2,26,969,1.66,22.94,OK
WARMUP,1,27,1000,1.66,22.90,OK
WARMUP,2,27,233,1.66,22.99,OK
WARMUP,3,27,230,1.66,23.03,OK
WARMUP,2,28,231,1.66,23.06,OK
WARMUP,3,29,1071,1.66,23.11,OK
WARMUP,2,29,231,1.66,23.19,OK
WARMUP,4,29,1079,1.66,23.15,OK
WARMUP,3,30,228,1.66,23.23,OK
WARMUP,2,30,230,1.66,23.26,OK
WARMUP,4,30,245,1.66,23.30,OK
WARMUP,1,32,1170,1.66,23.34,OK
WARMUP,2,32,1154,1.66,23.37,OK
WARMUP,4,32,236,1.66,23.45,OK
WARMUP,2,33,245,1.66,23.41,OK
WARMUP,3,32,244,1.66,23.49,OK
WARMUP,3,33,243,1.66,22.75,OK
WARMUP,2,34,227,1.66,22.79,OK
WARMUP,4,34,1245,1.66,22.83,OK
WARMUP,2,35,303,1.66,22.86,OK
WARMUP,3,35,233,1.66,22.94,OK
WARMUP,2,35,239,1.66,22.90,OK
WARMUP,4,36,247,1.66,22.98,OK
WARMUP,2,36,234,1.66,23.01,OK
WARMUP,3,36,231,1.66,23.05,OK
WARMUP,4,36,232,1.66,23.09,OK
WARMUP,1,37,1333,1.66,23.12,OK
WARMUP,3,37,234,1.66,23.16,OK
WARMUP,1,38,232,1.66,23.20,OK
WARMUP,3,38,232,1.66,23.24,OK
WARMUP,4,39,244,1.66,23.27,OK
WARMUP,2,39,1390,1.66,23.35,OK
WARMUP,1,39,239,1.66,23.33,OK
WARMUP,4,39,1398,1.66,23.39,OK
WARMUP,3,39,1401,1.66,23.43,OK
WARMUP,3,39,235,1.66,23.47,OK
WARMUP,3,40,228,1.66,23.50,OK
WARMUP,2,40,239,1.66,22.76,OK
WARMUP,1,42,243,1.66,22.79,OK
WARMUP,1,42,1482,1.66,22.87,OK
WARMUP,2,42,243,1.66,22.83,OK
WARMUP,1,42,235,1.66,22.94,OK
WARMUP,3,42,250,1.66,22.91,OK
WARMUP,2,42,1477,1.66,22.98,OK
WARMUP,2,42,227,1.66,23.02,OK
WARMUP,4,42,228,1.66,23.05,OK
WARMUP,1,43,224,1.66,23.13,OK
WARMUP,3,42,240,1.66,23.09,OK
WARMUP,2,43,235,1.66,23.17,OK
WARMUP,4,43,226,1.66,23.20,OK
WARMUP,2,44,230,1.66,23.24,OK
WARMUP,4,44,1561,1.66,23.28,OK
WARMUP,4,44,235,1.66,23.35,OK
WARMUP,3,45,1581,1.66,23.39,OK
WARMUP,1,45,232,1.66,23.31,OK
WARMUP,2,45,229,1.66,23.43,OK
WARMUP,3,45,227,1.66,23.46,OK
WARMUP,4,45,232,1.66,22.73,OK
WARMUP,3,46,1702,1.66,23.50,OK
WARMUP,3,46,220,1.66,22.80,OK
WARMUP,2,46,230,1.66,22.77,OK
WARMUP,1,48,298,1.66,22.84,OK
WARMUP,3,47,232,1.66,22.91,OK
WARMUP,2,48,243,1.66,22.88,OK
WARMUP,4,47,229,1.66,22.95,OK
WARMUP,1,49,242,1.66,22.99,OK
WARMUP,3,48,225,1.66,23.03,OK
WARMUP,2,48,239,1.66,23.06,OK
WARMUP,1,49,226,1.66,23.10,OK
WARMUP,1,50,221,1.66,23.14,OK
WARMUP,3,49,240,1.66,23.18,OK
WARMUP,4,49,237,1.66,23.21,OK
WARMUP,2,50,226,1.66,23.25,OK
WARMUP,4,50,298,1.66,23.29,OK
WARMUP,3,50,229,1.66,23.32,OK
WARMUP,1,51,232,1.66,23.36,OK
WARMUP,4,50,240,1.66,23.40,OK
WARMUP,4,51,237,1.66,23.44,OK
WARMUP,3,52,254,1.66,23.47,OK
WARMUP,1,53,243,1.66,23.51,OK
WARMUP,3,52,228,1.66,22.73,OK
WARMUP,2,53,242,1.66,22.77,OK
WARMUP,4,52,239,1.66,22.80,OK
WARMUP,2,53,222,1.66,22.84,OK
WARMUP,3,53,236,1.66,22.88,OK
WARMUP,1,54,232,1.66,22.91,OK
WARMUP,4,53,241,1.66,22.95,OK
WARMUP,3,54,217,1.66,22.99,OK
WARMUP,2,54,240,1.66,23.03,OK
WARMUP,4,54,230,1.66,23.06,OK
WARMUP,1,56,246,1.66,23.10,OK
WARMUP,2,55,234,1.53,23.14,OK
WARMUP,3,55,229,1.53,23.18,OK
WARMUP,4,56,244,1.53,23.21,OK
WARMUP,2,56,229,1.53,23.25,OK
WARMUP,3,56,236,1.53,23.29,OK
